Team,Player,Position,GW,OPP,Home/Away,Result,Score,PTS,G,A,SOT,CC,SCR,STO,CS,INT,TW,PS,SV,AER,CLR,DIS,OG,GC,YC,RC
Aston Villa,Kieran Richardson,Def,4,SUN,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jose Angel Crespo,Def,1,BOU,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jose Angel Crespo,Def,2,MUN,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jose Angel Crespo,Def,3,CRY,H,L,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jose Angel Crespo,Def,4,SUN,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jores Okore,Def,1,BOU,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jores Okore,Def,2,MUN,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jores Okore,Def,3,CRY,H,L,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jores Okore,Def,4,SUN,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Rudy Gestede,For,1,BOU,H,W,0-1,14,1,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0
Aston Villa,Rudy Gestede,For,2,MUN,A,L,0-1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Aston Villa,Rudy Gestede,For,3,CRY,H,L,2-1,2.5,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,2,1,0
Aston Villa,Rudy Gestede,For,4,SUN,A,D,2-2,11,0,0,2,1,0,0,0,0,0,0,0,8,0,0,0,2,0,0
Aston Villa,Gabriel Agbonlahor,For,1,BOU,H,W,0-1,8,0,0,1,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0
Aston Villa,Gabriel Agbonlahor,For,2,MUN,A,L,0-1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Aston Villa,Gabriel Agbonlahor,For,3,CRY,H,L,2-1,5.5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Aston Villa,Gabriel Agbonlahor,For,4,SUN,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Adama Traore,For,1,BOU,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Adama Traore,For,2,MUN,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Adama Traore,For,3,CRY,H,L,2-1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
Aston Villa,Adama Traore,For,4,SUN,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jordan Ayew,For,1,BOU,H,W,0-1,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jordan Ayew,For,2,MUN,A,L,0-1,0.5,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,1,1,0
Aston Villa,Jordan Ayew,For,3,CRY,H,L,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
